"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"27","@elonmusk why does this system try to discredit you so much?! #FakeNews too much negativity fuck them all. Ignore the #hate.",FALSE,0,"elonmusk",2018-10-05 23:56:01,FALSE,NA,"1048361197903331328","44196397","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jbkenneth1",0,FALSE,FALSE,NA,NA
"28","@elonmusk Wut?  Do you own space?",FALSE,0,"elonmusk",2018-10-05 23:55:59,FALSE,"1048114562694696966","1048361188835250178","44196397","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","hedidntgetit",0,FALSE,FALSE,NA,NA
"29","Can @elonmusk invent time travel already so all of us normal Americans can fast forward two years to the post Trump‚Ä¶ https://t.co/s3cF03vSf7",FALSE,2,NA,2018-10-05 23:55:57,TRUE,NA,"1048361178877980672",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NSchrader1",0,FALSE,FALSE,NA,NA
"30","@elonmusk @MebFaber what about $TLRY shorts been getting destroyed. and this company should not be trading more tha‚Ä¶ https://t.co/IW6bWYK011",FALSE,0,"elonmusk",2018-10-05 23:55:56,TRUE,"1048240246498840577","1048361175677849600","44196397","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","heathwiley1",0,FALSE,FALSE,NA,NA
"31","@jchervinsky @danheld @matettore @elonmusk See eg the UK‚Äôs Faster Payments system operated by Vocalink. Basically e‚Ä¶ https://t.co/9hVJHqi2lX",FALSE,2,"prestonjbyrne",2018-10-05 23:55:51,TRUE,"1048356426551316486","1048361154077216768","151936663","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","prestonjbyrne",0,FALSE,FALSE,NA,NA
"32","@martyeuler @elonmusk @MebFaber Elon‚Äôs Maths:

23M followers x 1% x 40k/car

= $9.2 Billion ‚úîÔ∏è",FALSE,0,"martyeuler",2018-10-05 23:55:43,FALSE,"1048250959099572224","1048361119436292096","714912384","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","plawlor28",0,FALSE,FALSE,NA,NA
"33","If Einstein listened to all the average Joes, he would not be Einstein. The world needs @elonmusk, but the common m‚Ä¶ https://t.co/0PfaIyeC2l",FALSE,0,NA,2018-10-05 23:55:28,TRUE,NA,"1048361056689709056",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ShaunMaines",0,FALSE,FALSE,NA,NA
"34","RT @Sofiaan: Sliding down our steep driveway in #FrunkPuppyFriday style! #radioflyertesla @28delayslater @elonmusk @tesla @RadioFlyer https‚Ä¶",FALSE,0,NA,2018-10-05 23:55:03,FALSE,NA,"1048360952645804032",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","WhiteLi45324460",4,TRUE,FALSE,NA,NA
"35","RT @HyperChangeTV: dear @elonmusk ""cease to acknowledge all short sellers, that is the best way to defeat them"" $TSLA
https://t.co/0HskocSG‚Ä¶",FALSE,0,NA,2018-10-05 23:55:02,FALSE,NA,"1048360949856362496",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","WentaiW",48,TRUE,FALSE,NA,NA
"36","@1101base2 @AannshulB89 @elonmusk To be fair this is probably precisely what our ancestors thought about dumping th‚Ä¶ https://t.co/y6kQQPhLMS",FALSE,0,"1101base2",2018-10-05 23:54:54,TRUE,"1048180124926050307","1048360914490028032","410198940","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","mirhagk",0,FALSE,FALSE,NA,NA
"37","@Irish_Reb3l @elonmusk Too far ! Praying for peace to your country",FALSE,0,"Irish_Reb3l",2018-10-05 23:54:39,FALSE,"1048255026576199681","1048360852993146880","3035028311","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","novashine03",0,FALSE,FALSE,NA,NA
"38","@elonmusk Kimbel, your brother needs to reinforce for giving lessons to Bullies. He always wear cowboy hat. He migh‚Ä¶ https://t.co/SI1FHvEtfY",FALSE,0,"elonmusk",2018-10-05 23:54:36,TRUE,NA,"1048360839864958976","44196397","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Oo38510409",0,FALSE,FALSE,NA,NA
"39","@HyperChangeTV @Gfilche @elonmusk It‚Äôs time to fight short sellers, they‚Äôve attacked Monster Beverage, Amazon, Tesl‚Ä¶ https://t.co/Y9X0y6SnCU",FALSE,0,"HyperChangeTV",2018-10-05 23:54:30,TRUE,"1048264288752816128","1048360815751880705","830122005030694920","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","johnnyD33971464",0,FALSE,FALSE,NA,NA
"40","@Tesla @elonmusk  any idea of what‚Äôs wrong in my brand new MS100D car ? Strange noise ?? https://t.co/wAJErZKHca",FALSE,0,"Tesla",2018-10-05 23:54:29,FALSE,NA,"1048360810060365825","13298072","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","guillaume_gille",0,FALSE,FALSE,NA,NA
"41","@silkdynastystx @elonmusk When $TSLA is under $4.20 a share remember this #SilkyStroke #KillTheLights",FALSE,0,"silkdynastystx",2018-10-05 23:54:18,FALSE,"1048358154180878336","1048360762555551744","2439520662","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","justtradin",0,FALSE,FALSE,NA,NA
"42","@iavor @elonmusk The media peddles negative spins on ‚Äúeverything‚Äù Elon says. Negative publicity is incredibly cheap‚Ä¶ https://t.co/gKX55kZqYt",FALSE,0,"iavor",2018-10-05 23:53:49,TRUE,"1047949549090869250","1048360643202449408","26092341","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kennie30929313",0,FALSE,FALSE,NA,NA
"43","@elonmusk i have figured out why fossil fuel are on earth it is for are magnetic field i have more on my time line‚Ä¶ https://t.co/4Dm26rtZ0v",FALSE,0,"elonmusk",2018-10-05 23:53:43,TRUE,NA,"1048360616908533763","44196397","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","inventordreams",0,FALSE,FALSE,NA,NA
"44","RT @Steele_TheArt: Why isn‚Äôt a breathalyzer starter standard in vehicles?! @elonmusk @Ford @chevrolet https://t.co/wfmNkuQpbE",FALSE,0,NA,2018-10-05 23:53:41,FALSE,NA,"1048360608456818689",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","goodwelles",1,TRUE,FALSE,NA,NA
"45","@cenzopavo @elonmusk A lot.  Volume is a big indicator imho",FALSE,0,"cenzopavo",2018-10-05 23:53:36,FALSE,"1048357626164084736","1048360590215991297","25728072","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","EricSteiman",0,FALSE,FALSE,NA,NA
"46","@brianvacquier @Tesla @elonmusk You are clearly a hater ... owners love this update",FALSE,0,"brianvacquier",2018-10-05 23:53:33,FALSE,"1048350711610843136","1048360574927523840","458268427","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mysticl",0,FALSE,FALSE,NA,NA
"47","@Tesla @elonmusk The Tesla cars also need a rear facing dash cam, if they don‚Äôt already have one.",FALSE,0,"Tesla",2018-10-05 23:53:28,FALSE,"1048314162584010752","1048360554375524352","13298072","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","twbav8r",0,FALSE,FALSE,NA,NA
"48","RT @Sofiaan: Happy #FrunkPuppyFriday #Frunkpuppy @28delayslater @tesla @elonmusk . Keeping it simple, in the frunk of my new performance mo‚Ä¶",FALSE,0,NA,2018-10-05 23:53:28,FALSE,NA,"1048360554136387585",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MichellBasler",7,TRUE,FALSE,NA,NA
"49","@diggydoy2 @YouTube @elonmusk I didnt watch it. Did he cry? $TSLA",FALSE,0,"diggydoy2",2018-10-05 23:53:22,FALSE,"1048359142279208960","1048360531525074944","1000791715412828162","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BossHoggHazzard",0,FALSE,FALSE,NA,NA
"50","#BullishThesis and I think @elonmusk should just take the Shorties to the cleaners once and for all https://t.co/Yt6IQZDdZ9",FALSE,0,NA,2018-10-05 23:53:14,FALSE,NA,"1048360494866649088",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","trader_notrader",0,FALSE,FALSE,NA,NA
"51","Shorted Tesla to 265 last Friday. Logged into my broker account on the last day of contract to see it‚Äôs dropped 20‚Ä¶ https://t.co/ACCM8AdpCF",FALSE,0,NA,2018-10-05 23:53:06,TRUE,NA,"1048360462704922629",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","baileycharlez",0,FALSE,FALSE,NA,NA
"52","@elonmusk Thanks a lot for $262",FALSE,0,"elonmusk",2018-10-05 23:53:05,FALSE,"1047943670350020608","1048360458858717184","44196397","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","lzkeur",0,FALSE,FALSE,NA,NA
"53","@Sofiaan @28delayslater @elonmusk @Tesla @RadioFlyer So adorable! He steers pretty well in the mini Tesla actually.",FALSE,2,"Sofiaan",2018-10-05 23:52:47,FALSE,"1048347187279683584","1048360383868596226","49417006","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","PicklePunchD",0,FALSE,FALSE,NA,NA
"54","@madflavor Mr Romance today VÌ†ºÌº∑Ì†ΩÌ∏ÅÌ†ΩÌ±ç 420 @madflavor @joerogan @elonmusk @justinbieber @SecretService",FALSE,0,"madflavor",2018-10-05 23:52:44,FALSE,"1048314399792852992","1048360369914167296","29226377","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SteveDavidMike2",1,FALSE,FALSE,NA,NA
"55","@elonmusk Too bad we can‚Äôt laser etch a gif and make it look like people are trapped in the plate of glass. https://t.co/MITCBH6kYJ",FALSE,0,"elonmusk",2018-10-05 23:52:34,FALSE,"1048114562694696966","1048360328541626368","44196397","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ALopezBL",0,FALSE,FALSE,NA,NA
"56","@elonmuskcrypto @elonmusk @megnsander @TheCryptoMonk this is the secret to the community Ì†æÌ¥£",FALSE,1,"elonmuskcrypto",2018-10-05 23:52:30,FALSE,"1048199647359979520","1048360310191546368","931693085418971136","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","crypto_Tyrion",0,FALSE,FALSE,NA,NA
"57","@themotleyfool @elonmusk This is obviously a bunch of shorts voting",FALSE,0,"themotleyfool",2018-10-05 23:52:27,FALSE,"1048351979276292096","1048360300758650881","15568127","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Sdeezy77",0,FALSE,FALSE,NA,NA
"58","@elonmusk Is it possible to link self-driving cars so separate vehicles could ‚Äúcar pool‚Äù together, such as for fami‚Ä¶ https://t.co/Dj7rKmiXsB",FALSE,0,"elonmusk",2018-10-05 23:52:21,TRUE,"1048114562694696966","1048360273994821632","44196397","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jokinandtokin",0,FALSE,FALSE,NA,NA
"59","@elonmusk is TESLA HEADING TO MARS?",FALSE,0,"elonmusk",2018-10-05 23:51:59,FALSE,NA,"1048360183250997249","44196397","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Kennethpazansk1",0,FALSE,FALSE,NA,NA
