"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"49","RT @lpineda37: #LearningAnalytics is such a hot topic amongst UK HEIs and rightly so! Great summary of why that is @SMackney ! @CivitasLear…",FALSE,0,NA,2018-10-18 15:59:21,FALSE,NA,"1052952282650820609",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","markmilliron",1,TRUE,FALSE,NA,NA
"50","#LearningAnalytics is such a hot topic amongst UK HEIs and rightly so! Great summary of why that is @SMackney !… https://t.co/EvU0AuwF65",FALSE,1,NA,2018-10-18 15:56:34,TRUE,NA,"1052951579773427712",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","lpineda37",1,FALSE,FALSE,NA,NA
"51","RT @RB_Cavalcanti: Working through case studies at the #ICRE2018 #LearningAnalytics 2.0 precon in Halifax. Thanks for the great engagement.…",FALSE,0,NA,2018-10-18 15:07:51,FALSE,NA,"1052939320712146946",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","drjfrank",2,TRUE,FALSE,NA,NA
"52","RT @AllieRaeTee: Heading to #devlearn next week? The Yet Analytics, Inc. team will be all over! Come say hi at booth #118 or check out one…",FALSE,0,NA,2018-10-18 14:53:49,FALSE,NA,"1052935790433640448",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DuncanWIV",1,TRUE,FALSE,NA,NA
"53","Heading to #devlearn next week? The Yet Analytics, Inc. team will be all over! Come say hi at booth #118 or check o… https://t.co/2S6vomaoTG",FALSE,4,NA,2018-10-18 14:41:28,TRUE,NA,"1052932680583536642",NA,"<a href=""http://www.linkedin.com/"" rel=""nofollow"">LinkedIn</a>","AllieRaeTee",1,FALSE,FALSE,NA,NA
"54","Working through case studies at the #ICRE2018 #LearningAnalytics 2.0 precon in Halifax. Thanks for the great engage… https://t.co/TnXSsdkEew",FALSE,5,NA,2018-10-18 14:22:32,TRUE,NA,"1052927916693221376",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RB_Cavalcanti",2,FALSE,FALSE,NA,NA
"55","RT @epetersmtl: .@CincyIM presenting that when evaluating residents, system noise is incredibly important and only about 20% of the variati…",FALSE,0,NA,2018-10-18 13:55:38,FALSE,NA,"1052921146730012674",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","perbinder",5,TRUE,FALSE,NA,NA
"56",".@CincyIM presenting that when evaluating residents, system noise is incredibly important and only about 20% of the… https://t.co/fSyxwMl11s",FALSE,8,NA,2018-10-18 13:54:56,TRUE,NA,"1052920971357634561",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","epetersmtl",5,FALSE,FALSE,NA,NA
"57","RT @epetersmtl: @drjfrank @OrthopodReg @sherbino @VatsalTrivediMD Our future robot overlords are ready to crunch all the data at #LearningA…",FALSE,0,NA,2018-10-18 13:35:42,FALSE,NA,"1052916130296320000",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","dinkjardine",6,TRUE,FALSE,NA,NA
"58","RT @epetersmtl: .@mpusic #LearningAnalytics can also evaluate educators/education programs and not just learners. Learning curves (% of cor…",FALSE,0,NA,2018-10-18 13:35:35,FALSE,NA,"1052916100562743296",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","lizzyelsey",6,TRUE,FALSE,NA,NA
"59","Dashboards support inferences only by norm referencing and systematically assessing deviations in ratings #great wo… https://t.co/kywO082Zms",FALSE,0,NA,2018-10-18 13:33:12,TRUE,NA,"1052915499930136576",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RB_Cavalcanti",0,FALSE,FALSE,NA,NA
"60",".@CincyIM presents how #LearningAnalytics can inform Internal Medicine evaluations by creating a standardized expec… https://t.co/EvIQ4eOorR",FALSE,3,NA,2018-10-18 13:24:24,TRUE,NA,"1052913285886955520",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","epetersmtl",1,FALSE,FALSE,NA,NA
"61","Correcting for bias in WBA ratings is key in understanding learner progression in @CincyIM IM program #LearningAnalytics   #ICRE2018",FALSE,0,NA,2018-10-18 13:19:47,FALSE,NA,"1052912124077506560",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RB_Cavalcanti",0,FALSE,FALSE,NA,NA
"62","RT @epetersmtl: .@mpusic #LearningAnalytics can also evaluate educators/education programs and not just learners. Learning curves (% of cor…",FALSE,0,NA,2018-10-18 13:18:48,FALSE,NA,"1052911877712478208",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","drjfrank",6,TRUE,FALSE,NA,NA
"63","RT @epetersmtl: .@mpusic #LearningAnalytics can also evaluate educators/education programs and not just learners. Learning curves (% of cor…",FALSE,0,NA,2018-10-18 13:16:45,FALSE,NA,"1052911362299445248",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","OrthopodReg",6,TRUE,FALSE,NA,NA
"64","""Looking at the numbers could provide a major benefit to students and faculty members,"" with #alta, we can achieve… https://t.co/HRvK2D1dhu",FALSE,1,NA,2018-10-18 13:10:37,TRUE,NA,"1052909819131293696",NA,"<a href=""http://www.hubspot.com/"" rel=""nofollow"">HubSpot</a>","Knewton",0,FALSE,FALSE,NA,NA
"65","RT @RB_Cavalcanti: Level 6 on @CincyIM entrustment scale is 'not observed' - key way to push culture #LearningAnalytics @ICREConf #ICRE2018…",FALSE,0,NA,2018-10-18 13:05:02,FALSE,NA,"1052908414383386625",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","perbinder",1,TRUE,FALSE,NA,NA
"66","""What we're trying to do is transfer our #learning into a more scalable, digital, and measurable experience for lea… https://t.co/ZO19QpKnsH",FALSE,0,NA,2018-10-18 13:04:19,TRUE,NA,"1052908233390739456",NA,"<a href=""http://www.hubspot.com/"" rel=""nofollow"">HubSpot</a>","YetAnalytics",0,FALSE,FALSE,NA,NA
"67","Level 6 on @CincyIM entrustment scale is 'not observed' - key way to push culture #LearningAnalytics @ICREConf… https://t.co/cFdsz2Tux2",FALSE,4,NA,2018-10-18 12:59:10,TRUE,NA,"1052906935262093312",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RB_Cavalcanti",1,FALSE,FALSE,NA,NA
"68","RT @epetersmtl: .@mpusic presenting that #LearningAnalytics permits to better define mastery. For learners evaluating X-Rays in a simulated…",FALSE,0,NA,2018-10-18 12:56:22,FALSE,NA,"1052906233936666625",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RB_Cavalcanti",3,TRUE,FALSE,NA,NA
"69","RT @epetersmtl: .@mpusic #LearningAnalytics can also evaluate educators/education programs and not just learners. Learning curves (% of cor…",FALSE,0,NA,2018-10-18 12:56:13,FALSE,NA,"1052906195684651008",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RB_Cavalcanti",6,TRUE,FALSE,NA,NA
"70","RT @epetersmtl: .@mpusic #LearningAnalytics can also evaluate educators/education programs and not just learners. Learning curves (% of cor…",FALSE,0,NA,2018-10-18 12:55:26,FALSE,NA,"1052905998896295936",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","perbinder",6,TRUE,FALSE,NA,NA
"71",".@mpusic #LearningAnalytics can also evaluate educators/education programs and not just learners. Learning curves (… https://t.co/hFg523GFlF",FALSE,10,NA,2018-10-18 12:52:36,TRUE,NA,"1052905286476783617",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","epetersmtl",6,FALSE,FALSE,NA,NA
"72","RT @epetersmtl: @drjfrank @OrthopodReg @sherbino @VatsalTrivediMD Our future robot overlords are ready to crunch all the data at #LearningA…",FALSE,0,NA,2018-10-18 12:31:32,FALSE,NA,"1052899983006072832",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","drjfrank",6,TRUE,FALSE,NA,NA
"73","RT @epetersmtl: .@mpusic presenting that #LearningAnalytics permits to better define mastery. For learners evaluating X-Rays in a simulated…",FALSE,0,NA,2018-10-18 12:30:41,FALSE,NA,"1052899768345784320",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","perbinder",3,TRUE,FALSE,NA,NA
